row ID,row m/z,row retention time,HATS_402_041.mzML Peak height,HATS_403_037.mzML Peak height,HATS_404_040.mzML Peak height,HATS_401_022.mzML Peak height,HATS_408_043.mzML Peak height,HATS_405_025.mzML Peak height,HATS_406_055.mzML Peak height,HATS_407_059.mzML Peak height,HATS_412_019.mzML Peak height,HATS_409_056.mzML Peak height,HATS_410_018.mzML Peak height,HATS_411_044.mzML Peak height,LA2213_602_035.mzML Peak height,LA2213_603_045.mzML Peak height,LA2213_601_051.mzML Peak height,LA2213_604_016.mzML Peak height,LA2213_605_017.mzML Peak height,LA2213_607_032.mzML Peak height,LA2213_608_024.mzML Peak height,LA2213_606_033.mzML Peak height,LA2213_609_058.mzML Peak height,LA2213_610_050.mzML Peak height,LA2213_612_046.mzML Peak height,OH8243_801_036.mzML Peak height,OH8243_802_026.mzML Peak height,OH8243_803_030.mzML Peak height,OH8243_805_057.mzML Peak height,LA2213_611_061.mzML Peak height,OH8243_804_029.mzML Peak height,OH8243_806_027.mzML Peak height,OH8243_809_063.mzML Peak height,OH8243_807_053.mzML Peak height,OH8243_810_049.mzML Peak height,OH8243_808_038.mzML Peak height,OH8243_812_060.mzML Peak height,OH8243_811_028.mzML Peak height,PB_02_006.mzML Peak height,PB_03_007.mzML Peak height,PB_01_005.mzML Peak height,QC_02_031.mzML Peak height,QC_04_047.mzML Peak height,QC_01_023.mzML Peak height,QC_03_039.mzML Peak height,QC_05_054.mzML Peak height,QC_06_062.mzML Peak height
5170,312.2281415,3.7682643,6775.466,9876.354,4988.634,13135.722,9471.3125,6652.0264,4011.8306,6072.8496,18922.22,11135.866,6336.0723,9219.254,11838.043,51101.72,33909.01,35057.66,42870.8,33768.773,20412.523,35253.566,16309.517,25671.324,29809.217,11319.883,9045.119,12375.759,12629.495,34664.406,11412.652,5716.987,7636.9766,10907.467,11371.265,17045.766,7440.2207,10776.266,0,0,0,19644.09,19009.633,18473.385,18771.03,17650.35,19104.97
7511,312.3009601,4.9501033,1862.0046,1966.7866,1033.0935,1483.2356,1160.6759,1518.7358,2001.6335,1683.2522,1584.0972,1766.2931,1468.5717,1318.4646,13470.293,31556.262,48316.316,16347.339,22172.566,31384.268,15740.279,35079.797,17483.06,14879.726,11503.921,0,0,1064,1254.9225,26619.287,1038.1475,0,0,0,0,0,0,0,0,0,0,12460.927,10982.297,13405.479,10884.928,11600.567,13199.343
136,312.9204566,0.52320594,6468.959,10582.488,8554.949,14540.622,8711.088,7716.8276,7104.023,8687.108,8293.637,12248.42,9672.631,7848.077,11223.302,18068.695,23227.299,19469.46,19461.691,15704.941,13282.933,19097.137,15143.407,20926.918,19734.15,8665.83,6818.387,4916.9346,8005.0854,21105.047,7376.597,8273.557,11517.632,8841.13,9682.119,7921.771,8170.134,10496.142,0,0,0,14499.87,16440.115,16615.977,14169.574,15557.563,16300.904
668,313.0701816,0.67437464,15899.28,15297.934,13198.692,15750.121,17041,16000.637,8823.9795,20566.125,14357.513,11684.446,13623.197,15013.232,1972.1884,3126.3718,1275.6598,3007.5664,4386.018,3422.7603,2293.4805,1793.5486,1002.3603,1527.28,1785.4042,4737.0337,7685.015,7813.4077,13602.426,2081.7551,12225.508,11513.468,17311.959,13684.192,16286.143,9246.098,17088.195,16197.904,0,0,0,6208.084,7245.8403,7605.8003,7489.808,8080.9966,7341.5664
6379,313.0794839,4.3439355,4251.297,13778,5506.0513,14872.279,11028.653,7205.891,4189.347,13544.843,17576.996,10134.334,8387.13,12508.289,13722.25,28757.408,27548.29,24382.248,27505.514,25997.234,11945.334,33456.125,14064.187,20711.746,19903.004,12977.144,8652.519,10574.594,6051.637,24495.443,9863.1875,3948.5962,7736.859,9980.834,7419.5913,13189.17,8347.837,7766.537,0,0,0,17084.496,16252.289,15584.99,16130.999,15536.163,16570.031
3141,313.0894777,2.8100047,59372.832,121959.1,158520.95,159149.58,147804.39,140995.17,179254.86,130226.266,70576.76,107504.625,222988.62,230161.2,55478.957,36299.945,63053.55,73833.31,28677.29,48384.348,96717.664,42693.016,62190.31,81428.41,78742.93,134443.05,99133.56,146242.17,221100.88,60646.246,161484.02,163624.19,228140.81,180089.81,217659.25,228506.6,199922.92,174024.23,0,0,0,106559.6,119295.6,120878.01,114464.56,124778.4,131004.086
6163,313.1548897,4.2593937,40902.926,39165.73,40709.566,42733.473,36351.383,39697.715,35125.24,38474.36,35022.22,37918.758,45341.637,39817.574,4787.3745,5731.922,5000.593,8388.76,7245.112,5987.9175,7109.717,2901.8848,3975.0417,4734.122,7270.857,41872.37,29508.307,27720.062,31083.322,2498.6174,35224.12,35180.4,27570.104,24604.557,33521.89,39715.586,38616,32916.4,1103.4263,0,0,26640.627,26284.895,24350.508,25724.309,24913.51,24217.918
1991,313.1757702,1.7973133,30059.156,24595.676,26273.41,25122.148,25924.25,32109.586,22638.723,24975.012,17085.428,16656.785,32408.988,26515.154,23260.648,23400.613,27234.41,35706.617,22320.836,50049.848,29127.502,31604.217,23347.645,16582.688,29743.107,15417.892,17008.877,32383.404,20758.707,33144.906,29259.24,29433.928,31572.63,26247.578,18404.055,35066.535,27662.594,25936.266,0,0,0,29436.883,24144.314,22369.26,30307.818,26767.236,26995.424
9529,313.2373075,6.450072,14123.808,10086.493,15539.393,14220.504,5400.3535,16464.246,15053.724,13395.947,6939.469,7943.885,9904.419,11784.721,1403.4175,0,1030.3564,1038.3269,2222.9912,1607.6736,2698.0703,2941.818,1372.667,8483.234,6515.102,10767.551,11244.928,10588.565,17457.734,4718.11,10950.951,15662.795,23834.207,14184.03,8264.553,21011.31,11733.42,10548.148,0,0,0,7104,7566.694,7156.5405,7099.235,6771.741,7798.3022
2126,314.0916375,2.264301,2696.3916,3149.8823,2259.7917,2802.469,2938.9246,3154.5686,2990.3364,3474.489,4025.9739,3459.869,2756.6455,2726.0254,24176.137,81238.71,33003.66,36993.355,35714.83,48976.04,24932.88,38687.92,29373.395,21706.88,19749.244,3175.547,2905.1821,2236.9263,2274.98,36210.402,4857.8843,3384.4363,2623.1445,2355.0566,2409.0728,3636.4214,2624.0244,3340.4922,1832.5614,2236.9985,2365.1328,18205.516,20087.938,16231.761,16489.236,18284.312,16280.206
