row ID,row m/z,row retention time,HATS_402_041.mzML Peak height,HATS_403_037.mzML Peak height,HATS_401_022.mzML Peak height,HATS_404_040.mzML Peak height,HATS_406_055.mzML Peak height,HATS_407_059.mzML Peak height,HATS_408_043.mzML Peak height,HATS_409_056.mzML Peak height,HATS_405_025.mzML Peak height,HATS_411_044.mzML Peak height,HATS_410_018.mzML Peak height,HATS_412_019.mzML Peak height,LA2213_605_017.mzML Peak height,LA2213_602_035.mzML Peak height,LA2213_603_045.mzML Peak height,LA2213_607_032.mzML Peak height,LA2213_604_016.mzML Peak height,LA2213_601_051.mzML Peak height,LA2213_606_033.mzML Peak height,LA2213_609_058.mzML Peak height,LA2213_608_024.mzML Peak height,LA2213_612_046.mzML Peak height,OH8243_801_036.mzML Peak height,LA2213_610_050.mzML Peak height,OH8243_804_029.mzML Peak height,OH8243_802_026.mzML Peak height,OH8243_803_030.mzML Peak height,LA2213_611_061.mzML Peak height,OH8243_807_053.mzML Peak height,OH8243_805_057.mzML Peak height,OH8243_808_038.mzML Peak height,OH8243_806_027.mzML Peak height,PB_01_005.mzML Peak height,PB_02_006.mzML Peak height,OH8243_810_049.mzML Peak height,OH8243_809_063.mzML Peak height,PB_03_007.mzML Peak height,OH8243_811_028.mzML Peak height,OH8243_812_060.mzML Peak height,QC_02_031.mzML Peak height,QC_03_039.mzML Peak height,QC_04_047.mzML Peak height,QC_01_023.mzML Peak height,QC_06_062.mzML Peak height,QC_05_054.mzML Peak height,
581,246.18147708861494,0.6431863,65077.16,60561.13,87116.41,74169.42,66711.09,75841.08,53566.26,70891.805,61639.094,77022.56,96514.016,92134.9,18151.541,16695.389,19690.385,15929.414,16824.395,26297.582,24311.408,13032.833,16054.687,18445.963,70731.19,16279.076,55173.598,47984.973,46440.785,19006.727,46684.465,51140.605,58766.465,47340.55,0,0,64080.8,60674.83,0,48797.71,69975.68,48949.688,48690.668,52062.207,52993.14,48490.094,49070.797,
4594,246.18933408252292,3.5882902,22905.96,25946.375,30261.756,26969.555,19695.545,26349.482,25129.387,25616.293,21989.93,28633.955,28099.748,22892.156,5810.266,4466.5996,7517.0728,10105.224,7590.0396,4943.045,4014.1997,4667.2583,4542.859,7024.96,26831.41,5105.962,26768.64,20212.652,23290.027,4498.5493,20407.219,23419.145,31327.16,23241.691,0,0,21133.299,21191.441,0,23412.137,28614.766,21015.24,18110.195,19033.22,14159.294,19543.25,20290.582,
562,246.19233797789215,0.63861793,5910.15,6457.807,9568.98,6752.0156,6598.2974,7241.544,6070.959,9221.256,6699.49,7729.0063,9371.77,10526.898,2402.1787,2448.1174,2567.8132,2498.4153,1751.2092,2816.9421,2967.3362,1719.8579,2383.893,1504.4229,7368.642,1789.6587,6299.159,5236.5005,3551.7,2015.1407,5690.1504,5465.0806,5826.6226,4698.0674,0,0,7148.424,6209.3076,0,4435.2847,7794.188,4906.145,4906.5464,5858.3145,5892.3755,4991.8237,5538.131,
5086,246.20650240352091,3.8607821,0,0,0,0,0,0,0,0,0,2271.485,1396.7832,1097.3646,3395.6802,2826.5579,5999.676,4635.8135,3722.12,6331.365,5278.2017,2087.0676,2394.6912,2302.8457,1722.1979,2960.671,0,1621.6213,0,2598.175,0,1986.7646,1619.3661,0,0,0,0,0,0,1128.2034,1041.7843,2533.4875,2079.2122,2724.2795,2813.693,2642.1423,2417.2305,
9117,246.24274547195984,6.292892,20702.365,23830.031,18260.473,21111.256,21789.686,21403.537,20938.066,23858.34,19849.057,21484.705,22143.43,19914.893,23638.943,19552.105,21454.17,22618.26,19015.445,19899.387,21894.621,21140.803,22590.75,23218.438,20655.217,19978.379,22094.248,19265.133,21505.152,25025.043,21510.014,21911.74,23976.236,22327.756,20346.762,18796.111,20687.916,22023.318,19012.877,24289.805,20482.125,22885.5,19350.572,20839.195,19681.307,21954.842,20282.309,
748,247.02252366241933,0.7029915,2331.7134,2354.9824,1880.16,2089.2249,1258.0386,1409.8778,1771.1157,2375.8303,1529.0392,1709.0352,1726.3595,1631.0243,6066.608,1349.3945,2812.885,2824.8884,3246.247,1719.6565,3106.2175,2451.947,1360.9421,2233.9214,1150.2571,2136.834,1694.6355,1216.5465,1069.2628,3306.2007,1903.4238,2004.2642,1668.0243,1517.345,0,0,0,1694.9591,0,1624.194,1428.9797,3014.9417,1824.3368,1994.9589,2273.149,2785.5603,1265.3947,
540,247.05750446859946,0.65241086,1827.5245,0,1375.6887,1817.8986,1179.7189,1315.1276,1149.9314,2051.1853,0,1518.2043,1584.8408,1361.8768,9561.195,28907.695,11412.302,13567.699,17803.19,13415.53,15811.022,12779.93,12054.454,9840.773,1089.2316,11361.941,1116.8766,1934.5632,1405.9413,20899.715,1507.3136,1689.7821,1409.4896,1352.9872,0,0,1162.8777,1207.5944,0,1193.1779,1279.0801,7857.2803,7357.957,6673.7236,8839.89,6223.4775,4459.969,
578,247.0813385100354,0.65490675,3518.5667,3833.4802,3339.679,4978.917,4922.9985,4575.005,2813.8364,6156.172,5287.392,3923.8564,3640.684,3606.2012,6394.305,13878.058,8297.691,6678.071,5663.6143,7914.9355,6160.8735,8258.909,7020.7505,7657.0938,4124.7383,8422.781,6039.815,3996.7986,4192.8447,7671.4414,5225.2256,3400.8484,3896.4507,3118.1309,0,0,4733.26,5329.6304,0,3172.3083,3489.756,4608.3857,4806.1655,4542.659,5952.606,5408.47,5515.6997,
1259,247.09253741045626,0.9922043,5598.0005,6688.367,6774.6064,6462.324,6774.921,6958.7993,9024.014,8678.885,6443.283,6093.503,4431.5938,7453.4536,11599.51,14167.749,15100.087,15264.239,14799.634,15410.794,16525.953,15447.131,16371.948,21208.268,5596.149,15944.223,8593.502,8517.712,9877.474,15489.87,7817.915,5532.1167,6737.8105,6342.4604,0,0,6483.2583,6985.4785,0,7167.561,7851.6406,13433.619,10677.439,12164.676,10552.61,11192.194,13420.051,
2486,247.10954626222104,2.4345694,3274.9158,4422.4917,3683.7603,3380.0225,2589.6162,2908.6099,3382.4038,2709.8071,3721.6597,3686.1873,3127.6008,3789.5774,2997.163,2267.9692,3793.8564,3334.7537,3194.0054,5254.2646,2184.2563,1716.2815,1534.5348,2377.832,3486.3318,2428.748,2355.075,2863.0918,3495.0847,3258.0583,4056.2004,2856.6587,2267.1453,1993.1765,0,0,3223.9216,2819.0193,0,3127.827,3844.9487,2684.0847,2246.4082,3758.1555,2799.151,3823.4985,2783.491,
4491,247.1175206667817,3.5435965,5044.837,19877.434,17841.76,10623.26,5684.671,26248.674,9079.406,10664.435,6995.8105,14236.911,20725.0,24168.62,1250.6628,2164.899,1691.192,3947.231,2200.4458,1886.3352,1597.9502,1388.6531,1828.8433,1545.4977,17400.674,1068.2496,13801.6,9747.755,17205.018,1352.4893,12899.19,9964.872,7151.6963,15410.77,0,0,25585.66,17225.547,0,10178.489,29268.512,9748.921,11875.381,9624.362,10605.389,10094.831,9830.558,
8352,247.1175811622502,5.392891,2432.2605,6636.649,8720.823,7117.5215,3346.3252,11411.864,7158.2886,5628.6895,4641.889,7507.1484,12276.611,12774.403,0,0,0,0,1190.8099,0,1069.9453,0,0,0,12125.794,0,9787.593,6644.2036,9816.166,1596.8142,8948.57,7835.449,7109.429,7737.9233,0,0,18992.152,12834.685,0,6966.497,17126.14,6512.095,5780.391,7201.9526,6469.478,6517.0825,7943.2544,
3007,247.1288702837581,2.800469,34393.7,29809.846,39896.047,35598.953,32611.648,39301.953,30509.637,32398.246,35946.74,36925.13,38633.734,32511.203,6453.8633,4501.9194,5521.315,6370.087,4215.068,5322.243,3554.208,5083.4375,5480.0645,6684.6216,30383.3,3807.8137,32515.37,26509.004,22397.043,3712.9128,26465.074,30418.453,35417.703,30692.508,0,0,30859.258,27823.73,0,24638.805,40208.496,22079.752,22430.984,22130.107,20195.678,22121.123,24234.484,
1924,247.12888615354817,1.9578184,32985.586,32346.066,45484.207,39176.438,35047.05,39039.332,32807.18,37580.08,33129.47,36074.957,37910.92,32899.402,6620.1504,4681.844,6101.5596,5791.81,6806.8486,3946.9143,3575.5405,4947.013,6802.359,5572.5713,35781.383,4023.111,28913.135,25010.65,22622.924,3400.6074,26534.541,31897.102,41183.47,29207.52,0,0,29596.871,27677.627,0,28064.918,39300.824,24868.697,22077.775,22387.812,24178.596,24028.63,22780.332,
2497,247.12900206915813,2.4895911,4921.056,5007.935,5038.6,5487.374,3733.333,9937.56,7679.765,5257.9834,4168.669,6216.201,4588.4873,6227.1665,5304.412,3635.1213,4693.2676,5904.6387,5307.581,6089.005,3773.3625,2466.8784,4391.9897,2898.1528,5092.7803,3507.4531,4548.439,3618.6746,6136.233,3908.8662,4173.644,5684.8804,6271.5405,5977.812,0,0,6945.0405,3681.62,0,7772.791,5544.7197,5110.758,4347.211,6302.778,3644.6162,3741.7441,3650.9207,
1547,247.12901904450223,1.1505282,528741.0,423249.72,613528.0,573789.8,417254.53,466144.88,376679.38,376246.12,486492.5,598678.94,508162.9,469185.0,77684.45,93071.305,124672.695,121538.99,113215.266,87636.64,47581.668,85335.09,89788.164,106927.3,514445.7,71617.69,498719.2,418206.66,428258.34,60118.777,457013.94,472956.22,496535.4,534579.0,0,0,581881.6,409386.1,0,547196.75,609568.3,394098.88,400368.0,373119.4,379978.97,375963.6,386679.75,
