row_ID,mz,rt,mz_rt,HATS_402_041,HATS_403_037,HATS_401_022,HATS_404_040,HATS_406_055,HATS_407_059,HATS_408_043,HATS_409_056,HATS_405_025,HATS_411_044,HATS_410_018,HATS_412_019,LA2213_605_017,LA2213_602_035,LA2213_603_045,LA2213_607_032,LA2213_604_016,LA2213_601_051,LA2213_606_033,LA2213_609_058,LA2213_608_024,LA2213_612_046,OH8243_801_036,LA2213_610_050,OH8243_804_029,OH8243_802_026,OH8243_803_030,LA2213_611_061,OH8243_807_053,OH8243_805_057,OH8243_808_038,OH8243_806_027,OH8243_810_049,OH8243_809_063,OH8243_811_028,OH8243_812_060,QC_02_031,QC_03_039,QC_04_047,QC_01_023,QC_06_062,QC_05_054
243,922.507656406178,0.5665107,922.507656406178_0.5665107,12500.968,16508.727,16578.377,10468.75,12042.229,12363.405,12553.922,13837.224,14256.227,10841.162,11139.924,13462.31,11967,13945.379,14399.9375,12419.797,11518.627,13266.134,14079.053,15472.112,15756.189,14133.429,14212.005,13559.7705,11516.077,12061.371,13095.33,11751.43,15209.801,10352.761,13853.739,12839.962,13130.082,11756.761,12390.513,10099.402,12848.711,14764.601,13975.536,13089.795,9894.584,12289.208
7210,923.280639576174,4.9376464,923.280639576174_4.9376464,5055.1416,2875.773,3232.8086,3183.8037,3998.116,2947.548,2294.6128,3227.8047,4062.6985,2600.973,4133.191,1434.909,1072.6498,2779.4155,1981.719,2260.633,1616.2318,1903.4115,1518.8759,1577.1663,2912.228,1445.3885,0,1643.1035,3945.169,2240.2156,3641.0232,1985.9739,3276.682,3449.5342,2602.5312,2943.177,1804.6627,3131.4036,2451.4521,2601.4763,2292.6787,2975.1462,2921.2842,2427.0593,3257.1218,2644.8396
7217,923.6168040232584,4.9453883,923.616804023258_4.9453883,3512.9697,3969.1992,3248.2263,3785.592,3527.8271,4127.9463,3339.6682,3196.3633,5467.6543,2955.8877,5798.9854,2671.0525,5907.19,2985.8657,4133.6357,5026.252,11902.857,3249.9739,3470.0823,4516.966,5673.507,5664.4937,1399.2819,4364.8994,1285.6682,0,2092.4495,9344.209,1141.8029,1527.8801,2197.8875,0,1413.3027,1167.1422,1531.6805,1550.9218,3298.0408,4438.952,2742.2026,3455.0713,3532.0298,4215.903
7215,923.8670500721664,4.9436426000000004,923.867050072166_4.9436426,2623.281,4551.814,2863.2341,4344.0596,1926.5618,3140.5027,3034.5798,4484.0645,3661.5325,6328.146,3904.0156,2799.1182,5988.5566,2372.7517,5785.087,5447.787,13254.217,4216.2295,4738.149,5145.909,7510.888,7251.706,1342.8068,3264.6362,1895.6536,1262.3834,1906.0151,6611.645,1549.5927,1863.3756,2864.9072,1324.2225,1321.7098,1949.0106,1223.2518,1271.365,3640.9023,4323.1685,4822.8223,2726.7998,4887.903,4173.939
7220,924.1181789435014,4.9435906,924.118178943501_4.9435906,2639.3643,2040.7734,3170.5925,2661.5088,1814.668,2805.0066,2593.1343,4250.3853,3688,5104.209,3436.8027,2942.7544,5104.747,3383.021,5363.6367,3375.3452,12178.812,4086.5046,2914.6804,4391.388,5729.5615,6750.508,0,4056.7712,1555.3279,0,1848.1614,4905.632,0,1025.0441,0,1188.0323,1112.6818,1982.0428,1149.75,1728.403,3818.146,3221.0112,3457.4182,2878.2031,3069.6497,4492.335
6981,925.2360393881296,4.7815285,925.23603938813_4.7815285,4821.3525,2248.4,2374.4631,3689.2012,3156.7131,1370.7598,4583.0977,3103.1724,5135.687,3182.2485,3618.2,1511.8221,2265.5374,2047.9156,1716.8771,4753.354,4546.7827,2701.5815,2490.32,4660.1997,2932.3499,4194.5703,0,2784.5278,0,0,1129.4235,1794.3191,0,0,1728.1644,2245.0156,0,1558.4642,1175.4025,1393.6401,1889.004,2213.627,2510.3801,2646.507,2158.5464,2096.5493
3368,927.2361446576042,3.001627,927.236144657604_3.001627,2876.6633,2103.0845,1884.5153,3579.2388,4107.065,5370.746,2904.1877,2493.5198,4507.498,3315.2234,2625.4536,2653.1772,0,1772.1044,1299.7036,1763.4551,1046.5319,1121.4583,0,1124.8584,2794.236,1105.4785,4741.2925,1651.7726,10527.887,10463.45,14838.024,1587.4727,9574.094,9557.148,5505.2104,6974.5996,4351.8184,9937.507,3903.1738,9184.586,3454.8528,3677.5083,3480.3608,3840.3354,4535.1626,4225.7476
8736,928.1634288076266,6.032421,928.163428807627_6.032421,1555.4521,1777.8142,2974.5215,3418.4087,2812.9937,3681.6965,1885.1974,1760.1149,2771.022,7326.095,4946.853,2252.6902,2889.4512,1099.6223,1959.4642,1882.6189,3946.1426,6787.5864,6890.3047,2865.9321,3458.696,8675.048,4434.043,6979.027,9264.012,2604.1904,7321.411,7947.9736,7325.7183000000005,10110.394,15104.01,4455.165,5800.124,8116.518,4819.823,9893.4375,4245.893,5409.9116,5416.3887,4400.9893,5066.7544,4327.175
8741,928.4141711773824,6.0320244,928.414171177382_6.0320244,2094.3027,2550.0525,3489.1772,4113.055,4082.743,5111.5586,2578.5315,1788.6228,2568.7778,7189.229,8292.721,3102.2454,4123.263,1781.3203,1947.4122,2098.0671,5296.0356,5597.8057,6127.6045,3790.284,4847.0044,10768.768,3569.9534,9718.999,8494.757,4776.907,8452.04,9789.069,9857.655,11714.441,12678.556,4601.896,5176.3984,9855.151,7503.2407,11724.131,6802.16,4910.714,4472.143,5250.9507,5163.118,4944.2925
8730,928.6643243486728,6.0342093,928.664324348673_6.0342093,1616.7781,1719.0691,3188.4778,4484.5986,4508.203,4719.0107,2481.369,2833.1921,2295.2507,6314.9126,6048.2935,2456.8386,3431.1807,2085.2812,2346.0193,1931.4629,4170.1777,5335.805,5759.9517,4377.346,6107.461,10871.184,3809.014,7178.272,8550.154,3222.5154000000002,5876.5483,9560.355,7416.779,9765.875,11139.552,4056.3262,5366.84,7881.8545,4706.4004,10050.459,5819.365,4902.2207,4812.0645,4607.5664,4383.421,4570.4
